Категория,Анализ,Биоматериал,Цена,Описание,Время ожидания в днях
Популярное,Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),1990,"Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",1,"Мазок с зева, Мокрота"
Популярное,"25-OH витамин D, суммарный",1490,"Основной метаболит витамина D, по которому судят о его концентрации в организме. Это жирорастворимое вещество, необходимое для поддержания в крови уровня кальция, фосфора и магния.",1,Сыворотка
Популярное,АЧТВ,290,"Время, за которое образуется сгусток крови после присоединения к плазме хлорида кальция и других реагентов. Оно отражает работу так называемого внутреннего пути и общего каскада свертывающей системы крови человека и является наиболее чувствительным показателем свертываемости крови.
При применении очень высоких доз гепарина, например, при открытых операциях на сердце, тест на АЧТВ теряет свою чувствительность – тромбообразование сильно снижается.",1,Кровь с цитратом
Популярное,Аланинаминотрансфераза (АЛТ),249,"Внутриклеточный фермент из группы аминотрансфераз, играющий одну из ключевых ролей в обмене аминокислот и обеспечении клеток энергией.
АЛТ катализирует реакцию трансаминирования между аланином и альфа-кетоглутаратом.
Находится во всех клетках организма, главным образом в печени и почках, меньше его в сердце и мышцах.",1,Сыворотка
Популярное,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный",1490,"Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления.",1,Кровь
Популярное,"Антитела к коронавирусу SARS-Cov-2, IgG",1390,"Анализ крови на антитела IgG к вирусу SARS-CoV-2 – исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgG-антитела начинают появляются в крови в острой стадии инфекционного процесса, но максимальная их выработка происходит обычно через 10-14 дней после перенесенной инфекции. Выявление IgG-антител к SARS-CoV-2 свидетельствует, что человек выздоравливает или уже переболел коронавирусной инфекцией.",3,Кровь
Популярное,Антитела к микросомальной тиреопероксидазе (АТ-ТПО),690,"Антитела к тиреопероксидазе – специфические иммуноглобулины, направленные против фермента, содержащегося в клетках щитовидной железы и отвечающего за образование активной формы йода для синтеза тиреоидных гормонов. Они являются специфичным маркером аутоиммунных заболеваний щитовидной железы.",1,Сыворотка
Популярное,Аспартатаминотрансфераза (АСТ),290,"Аспартатаминотрансфераза (АСТ) – фермент, который находится во всех клетках организма, но, главным образом,  в клетках сердца и печени и, в меньшей степени, в почках и мышцах. В норме активность АСТ в крови очень низкая. При повреждении тканей печени или мышц она высвобождается в кровь. Таким образом, АСТ является показателем повреждений печени.",1,Сыворотка
Популярное,Билирубин общий,249,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков.",1,Сыворотка
Популярное,Витамин B12,1190,"Витамин B12 (цианокобаламин) – водорастворимый витамин, играет важную роль в нормальном функционировании нервной системы и формировании клеток крови.
Его дефицит может вызвать серьезные изменения в организме. B12 накапливается преимущественно в печени и селезенке.",1,Сыворотка
